"","year","month","r_f","r_mkt","r_me","r_ia","r_roe","r_eg"
"1",1967,1,0.3927,8.1603,6.7282,-2.9434,1.8866,-2.2469
"2",1967,2,0.3743,0.7202,1.6918,-0.2064,3.5317,2.5812
"3",1967,3,0.3693,3.9691,1.9517,-1.6933,1.8876,-1.4789
"4",1967,4,0.3344,3.8265,-0.7446,-2.9519,1.0983,-2.2351
"5",1967,5,0.3126,-4.2419,2.9132,2.4686,0.5234,0.2749
"6",1967,6,0.2674,2.4229,6.235,-2.17,0.2945,-0.4518
"7",1967,7,0.3153,4.6036,3.0119,2.3713,-0.7125,-0.1554
"8",1967,8,0.324,-0.9522,0.2796,1.8169,-0.678,-0.0121
"9",1967,9,0.3177,3.1109,1.7933,-0.4427,0.764,-0.5957
"10",1967,10,0.3649,-3.1082,0.7602,-2.4696,3.3736,0.1947
"11",1967,11,0.3416,0.4486,0.1462,-2.7052,0.7948,0.2268
"12",1967,12,0.3565,3.0134,4.5301,0.3024,0.8415,1.5013
"13",1968,1,0.3934,-4.0264,5.3829,4.7175,-2.7611,1.1872
"14",1968,2,0.3849,-3.7473,-1.5916,2.7512,-0.3786,3.3638
"15",1968,3,0.3977,0.1139,-2.2592,-1.1343,1.6762,1.1894
"16",1968,4,0.4263,8.9885,5.3526,-2.6056,3.7654,-1.9498
"17",1968,5,0.4672,2.2369,6.6977,-2.3165,1.96,-0.3907
"18",1968,6,0.4436,0.7091,-0.4317,2.4451,-0.477,-0.0139
"19",1968,7,0.479,-2.6814,-1.1638,2.7644,-2.101,3.3461
"20",1968,8,0.4476,1.3562,2.1609,0.369,-0.7607,1.5628
"21",1968,9,0.4203,4.0251,1.4565,-0.5757,-3.4236,-1.1965
"22",1968,10,0.4394,0.4647,-0.6765,2.6934,0.6051,2.5335
"23",1968,11,0.4457,5.4045,2.818,-1.35,-0.4084,-0.9061
"24",1968,12,0.4249,-3.8122,3.1692,2.5891,-0.7669,-0.8123
"25",1969,1,0.5025,-1.1736,-0.3062,1.1287,-0.0599,0.4839
"26",1969,2,0.4619,-5.8259,-3.8896,0.8468,1.0708,2.3862
"27",1969,3,0.4802,2.5704,-0.329,0.4342,1.9151,2.5092
"28",1969,4,0.4859,1.5667,-0.1529,0.5729,2.0249,-0.2396
"29",1969,5,0.5215,-0.0175,0.3868,1.4177,-0.0632,0.0143
"30",1969,6,0.5137,-7.2524,-4.711,-0.6272,3.4035,2.6999
"31",1969,7,0.552,-7.0692,-2.9302,1.9971,2.0585,3.4093
"32",1969,8,0.589,4.56,1.0624,-2.5157,0.4656,-2.1044
"33",1969,9,0.5856,-2.8446,0.7009,0.0668,2.0461,2.7936
"34",1969,10,0.5724,4.9914,2.7812,-1.5403,-1.0961,-1.245
"35",1969,11,0.5509,-3.7673,-2.0346,0.1868,2.7251,2.3591
"36",1969,12,0.5846,-2.5527,-3.7731,-0.6988,3.5171,1.6236
"37",1970,1,0.5781,-7.9035,3.5944,3.543,-1.1151,3.2645
"38",1970,2,0.6167,5.0539,-2.4785,1.7291,-2.148,0.1417
"39",1970,3,0.5542,-1.0271,-1.2521,3.3862,-0.9004,3.0289
"40",1970,4,0.5286,-11.0604,-4.6176,5.1869,0.3842,5.5544
"41",1970,5,0.5546,-6.9892,-3.2345,3.1902,0.2447,3.5983
"42",1970,6,0.5546,-5.6613,-1.8501,3.7465,2.6608,3.4015
"43",1970,7,0.4886,6.9283,-0.4726,2.5463,-0.8376,-1.2997
"44",1970,8,0.502,4.5016,0.6459,-0.8656,-3.3301,-2.1074
"45",1970,9,0.5034,4.2502,7.1669,-4.5667,-1.3578,-5.4366
"46",1970,10,0.4954,-2.3162,-3.2219,2.9508,5.4955,3.8581
"47",1970,11,0.4489,4.5959,-3.7022,0.7996,0.6343,2.1569
"48",1970,12,0.3786,5.6937,2.7348,0.2506,-1.0453,-0.2209
"49",1971,1,0.3777,4.8253,6.7855,-0.2393,-4.3397,-3.1099
"50",1971,2,0.3344,1.3569,1.4429,0.6299,2.4201,0.7462
"51",1971,3,0.2924,4.1854,2.6136,-1.9517,1.9082,-0.3295
"52",1971,4,0.2804,3.0528,-0.2761,1.3011,-1.1778,-0.8496
"53",1971,5,0.3127,-3.9536,-1.4764,0.8408,1.4227,0.8511
"54",1971,6,0.3505,-0.0386,-0.6857,-0.7086,4.3661,2.3722
"55",1971,7,0.4272,-4.4555,0.2058,2.3799,2.382,0.6458
"56",1971,8,0.4446,3.8065,-2.2947,1.5681,-3.3154,0.0843
"57",1971,9,0.363,-0.8646,0.3436,0.0654,2.7789,1.3024
"58",1971,10,0.3855,-4.4537,-1.2297,-0.8146,1.818,2.5812
"59",1971,11,0.3506,-0.4768,-2.6877,-0.2272,1.6929,1.5225
"60",1971,12,0.3152,8.8105,2.7116,-2.149,-1.4548,-1.5395
"61",1972,1,0.285,2.5533,6.6986,0.1462,-6.5071,2.0035
"62",1972,2,0.2659,2.869,0.4947,1.9682,1.0483,-0.3198
"63",1972,3,0.259,0.6132,-1.0273,1.8522,2.0909,1.5623
"64",1972,4,0.2962,0.2543,0.2123,0.3007,0.7439,0.2764
"65",1972,5,0.2942,1.3433,-2.5167,-1.4978,2.0885,1.2908
"66",1972,6,0.28,-2.3696,0.4544,-0.0442,3.5904,1.5981
"67",1972,7,0.3084,-0.7338,-1.9601,-0.3813,2.1009,3.2245
"68",1972,8,0.2988,3.2978,-3.503,3.5751,-1.5003,0.5274
"69",1972,9,0.3546,-1.1217,-1.0618,-1.1171,2.1073,0.4777
"70",1972,10,0.3891,0.4785,-3.0778,-0.4564,-0.4273,0.6831
"71",1972,11,0.3739,4.6025,-0.9411,2.6856,-4.0002,0.7227
"72",1972,12,0.4185,0.7058,-1.7259,-1.4356,2.9658,1.826
"73",1973,1,0.441,-3.1862,-2.379,0.3819,-0.4243,3.3714
"74",1973,2,0.4277,-4.8647,-4.4754,0.0895,-1.0202,1.4968
"75",1973,3,0.475,-1.2609,-1.6619,0.5769,-1.9084,3.2346
"76",1973,4,0.5002,-5.6768,-2.918,3.1285,-0.4763,4.0611
"77",1973,5,0.5098,-2.9609,-5.7174,-0.4296,1.5506,1.5935
"78",1973,6,0.5379,-1.4025,-1.2292,0.4198,-0.2085,2.8674
"79",1973,7,0.654,5.0416,7.9566,-5.7598,1.1344,-4.0992
"80",1973,8,0.6855,-3.6512,-1.941,1.6852,1.4658,1.5273
"81",1973,9,0.6749,4.7186,5.7177,2.1917,-1.298,-1.5706
"82",1973,10,0.6856,-0.727,-1.1937,2.6122,0.4963,4.157
"83",1973,11,0.5529,-12.6237,-7.4069,1.9803,-1.1485,2.1201
"84",1973,12,0.6961,0.4477,-4.5565,2.5209,3.6897,4.5754
"85",1974,1,0.6274,-0.1861,11.5318,2.0989,-4.7769,-0.5303
"86",1974,2,0.5819,-0.3473,-0.494,2.1141,-1.0424,1.4956
"87",1974,3,0.5677,-2.9041,1.8302,-0.0561,1.822,1.1659
"88",1974,4,0.7949,-5.3909,-0.4711,2.3695,2.2048,2.5009
"89",1974,5,0.7235,-4.9216,-4.0803,-0.3267,2.2504,0.403
"90",1974,6,0.6892,-2.9834,0.2569,1.5964,1.5679,2.1942
"91",1974,7,0.6756,-7.763,3.5312,4.4291,2.5754,5.7334
"92",1974,8,0.594,-9.3697,2.2084,3.1493,2.971,4.9026
"93",1974,9,0.7997,-11.7715,2.0542,4.8696,-2.3265,3.4019
"94",1974,10,0.5254,16.033,-6.1756,-1.866,8.4657,0.7406
"95",1974,11,0.5139,-4.6185,-0.8272,2.5433,1.7198,1.375
"96",1974,12,0.7009,-3.4014,-3.8523,2.1589,0.4904,1.9947
"97",1975,1,0.5387,13.6213,12.4554,-0.5409,-11.6678,-5.4121
"98",1975,2,0.4326,5.4086,-1.3678,-1.6715,3.5775,0.6185
"99",1975,3,0.4014,2.6176,3.3142,-0.6368,-1.7323,-1.7972
"100",1975,4,0.4489,4.2008,-1.3525,-0.0429,3.3383,2.2828
"101",1975,5,0.4869,5.0271,3.2779,-0.1207,-0.2728,-0.01
"102",1975,6,0.4133,4.734,1.6136,0.3474,-1.5739,-0.6553
"103",1975,7,0.4811,-6.5196,2.9714,1.4388,-1.3878,1.7376
"104",1975,8,0.4815,-2.8372,-3.215,-0.1715,0.713,1.373
"105",1975,9,0.5575,-4.3585,0.6399,1.3497,1.6701,3.2938
"106",1975,10,0.5185,5.0672,-4.6539,2.9666,2.4021,2.5945
"107",1975,11,0.4127,2.7095,-0.4698,1.579,0.6747,1.5925
"108",1975,12,0.4983,-1.5981,0.2833,-0.0444,-2.2549,0.4867
"109",1976,1,0.4402,12.161,6.7636,1.4911,-2.6485,0.9416
"110",1976,2,0.3452,0.3858,6.9406,2.1535,-3.7705,0.8377
"111",1976,3,0.4344,2.2396,-0.4251,1.6998,2.4445,1.6319
"112",1976,4,0.444,-1.4842,-0.5911,-0.7454,-0.282,0.0682
"113",1976,5,0.4124,-1.345,-1.2445,-0.9753,0.4638,0.4006
"114",1976,6,0.4446,4.0076,0.04,1.342,-0.0402,0.9974
"115",1976,7,0.439,-1.0525,1.1583,0.9213,0.7522,1.602
"116",1976,8,0.4745,-0.6143,-2.0533,-0.5975,0.0019,0.6296
"117",1976,9,0.3924,2.0588,-0.2218,-1.4154,1.1099,0.9664
"118",1976,10,0.4092,-2.4465,0.7091,-1.1258,0.298,-0.4814
"119",1976,11,0.444,0.0921,3.4747,-0.2677,-0.5127,0.0745
"120",1976,12,0.3579,5.8014,3.3003,1.8146,-1.0926,1.0778
"121",1977,1,0.3594,-3.9922,6.0477,0.9953,-2.1494,1.6548
"122",1977,2,0.3499,-1.9243,1.0733,0.121,1.251,0.3944
"123",1977,3,0.3769,-1.3018,1.4505,-0.1567,0.2845,-0.3464
"124",1977,4,0.4114,0.0848,1.2282,1.2277,0.3708,0.7455
"125",1977,5,0.3855,-1.4632,1.5106,0.2061,1.7462,2.7125
"126",1977,6,0.3716,4.7653,3.0804,-0.707,2.3207,2.92
"127",1977,7,0.3873,-1.6679,1.0218,1.0303,1.7279,2.4073
"128",1977,8,0.4993,-1.8331,-0.2567,-0.9221,1.3905,-0.0612
"129",1977,9,0.433,-0.2758,1.4214,-0.0246,1.3822,1.5164
"130",1977,10,0.4943,-4.4221,1.4077,-0.5652,-0.9856,1.1205
"131",1977,11,0.4959,4.0481,4.5803,1.202,2.565,1.4966
"132",1977,12,0.47,0.3523,1.4872,0.0436,1.2518,1.824
"133",1978,1,0.5374,-6.0573,2.2906,0.9791,-1.7383,0.2813
"134",1978,2,0.4941,-1.4216,4.0881,1.3206,0.0728,1.6669
"135",1978,3,0.5017,2.8992,3.3843,2.5349,-0.0044,0.1286
"136",1978,4,0.5712,7.7141,-0.1048,-0.362,5.5452,0.5713
"137",1978,5,0.5317,1.7913,3.6571,0.8898,0.503,0.5269
"138",1978,6,0.5369,-1.6117,1.4508,0.43,1.5126,1.2215
"139",1978,7,0.5591,5.115,0.1866,0.2737,1.82,2.6165
"140",1978,8,0.555,3.682,4.7053,1.1637,1.9068,0.6588
"141",1978,9,0.5964,-1.2853,-0.7342,0.2454,-3.5455,-0.8557
"142",1978,10,0.7498,-11.8493,-10.9812,0.5996,-1.1601,0.9792
"143",1978,11,0.7041,2.6746,4.0574,-1.0321,1.2777,1.5672
"144",1978,12,0.7372,1.0336,0.4927,-1.0916,2.6761,2.4785
"145",1979,1,0.7882,4.1648,4.2986,1.6783,-1.2204,-1.32
"146",1979,2,0.7324,-3.4089,0.3875,-0.4669,-2.4104,0.4715
"147",1979,3,0.8928,5.6685,3.8495,0.762,2.3211,0.521
"148",1979,4,0.8489,0.0031,2.3717,0.8093,1.8596,-0.2652
"149",1979,5,0.8161,-2.1732,0.5172,-0.0488,-0.6354,0.4403
"150",1979,6,0.7858,3.8994,0.866,-0.8884,-1.0071,-1.7176
"151",1979,7,0.841,0.6581,1.271,0.6421,0.5525,-0.6755
"152",1979,8,0.7506,5.7226,1.6294,-0.348,2.8977,-0.0615
"153",1979,9,0.7732,-0.6306,-0.0593,-0.1385,0.6966,2.8822
"154",1979,10,0.9621,-8.2283,-3.1861,0.0203,0.9841,1.6684
"155",1979,11,0.9878,5.3726,2.1608,-2.5489,2.2859,-0.3063
"156",1979,12,1.0209,1.8006,3.976,-1.1103,1.2236,-0.0718
"157",1980,1,0.7968,5.7639,0.7921,1.3627,1.7475,0.4129
"158",1980,2,1.0654,-0.9639,-1.5739,1.6345,2.2602,3.6
"159",1980,3,1.2009,-13.2233,-6.5916,0.7581,-1.1728,-1.0575
"160",1980,4,1.2865,3.9422,1.3321,1.2175,0.1694,1.4254
"161",1980,5,0.7883,5.2207,1.4786,-1.3314,-0.941,-0.7665
"162",1980,6,0.6312,3.1402,1.3291,-1.1272,3.0683,0.8596
"163",1980,7,0.5281,6.4157,3.6816,-2.2885,-0.5185,-3.3287
"164",1980,8,0.5973,1.758,4.7395,0.6597,2.4955,1.4979
"165",1980,9,0.8698,2.08,0.8408,-0.4912,5.1664,2.2821
"166",1980,10,0.8912,1.1183,1.174,0.4872,4.0221,2.6663
"167",1980,11,0.8895,9.6057,-5.0212,-1.8913,9.0038,0.9803
"168",1980,12,1.4149,-4.8559,1.0713,0.9482,-1.3091,0.1308
"169",1981,1,0.9957,-5.0044,3.7021,2.3986,-4.8819,0.6545
"170",1981,2,1.0685,0.4836,-0.0201,1.8857,0.7112,1.6564
"171",1981,3,1.3157,3.3027,3.4804,-1.7376,-1.2846,-1.876
"172",1981,4,1.0756,-2.2024,4.1917,2.3693,1.313,1.1027
"173",1981,5,1.0646,0.2904,2.47,-0.5126,-0.031,1.6439
"174",1981,6,1.5158,-2.5401,-0.7648,2.7016,-0.0363,1.8918
"175",1981,7,1.1915,-1.4995,-1.6107,-1.9616,3.1701,-0.5636
"176",1981,8,1.2804,-6.9083,-1.4078,1.2272,0.7274,2.2465
"177",1981,9,1.2794,-7.6567,-1.7177,3.5677,0.6074,3.9926
"178",1981,10,1.1685,4.8477,1.9587,-0.9324,4.8052,-0.9146
"179",1981,11,1.103,3.4819,-1.4241,0.5772,0.5384,1.9903
"180",1981,12,0.8738,-3.6834,1.2942,1.8902,-0.5258,1.3389
"181",1982,1,0.7306,-3.3516,-0.2856,1.9657,-1.4965,0.8404
"182",1982,2,0.9176,-6.0302,0.5385,4.692,0.2831,3.089
"183",1982,3,1.1077,-2.1176,0.6576,1.8195,-1.7068,2.45
"184",1982,4,1.129,3.1977,0.4602,1.2224,1.9119,0.6936
"185",1982,5,0.9592,-3.7804,-0.4066,-0.5126,-0.4668,0.9558
"186",1982,6,1.071,-3.4622,1.1276,2.8363,0.1351,3.4196
"187",1982,7,1.021,-3.0736,1.7298,2.0984,2.8115,3.8912
"188",1982,8,0.8342,11.0671,-3.4109,-0.524,-1.2378,-2.8913
"189",1982,9,0.5118,1.1643,3.158,1.0037,3.6253,3.4271
"190",1982,10,0.5475,11.3161,0.8638,-1.0627,-0.7911,-0.6491
"191",1982,11,0.7201,4.4734,4.5172,1.401,3.2276,3.7709
"192",1982,12,0.6289,0.8227,-0.8142,0.4203,-0.7457,-0.1808
"193",1983,1,0.6864,3.4986,2.1224,-0.7363,-2.4907,-1.8943
"194",1983,2,0.6186,2.4029,3.8293,1.5546,3.1079,2.0041
"195",1983,3,0.6326,2.8354,1.6463,2.8076,1.2412,2.0384
"196",1983,4,0.6918,6.727,-0.349,2.1438,0.5924,2.3433
"197",1983,5,0.7584,0.5642,6.0475,-1.5267,-3.6447,-3.8832
"198",1983,6,0.6661,3.1177,2.1432,-1.105,1.6774,2.6106
"199",1983,7,0.6917,-3.8485,0.6786,2.7744,1.194,2.9509
"200",1983,8,0.8342,-0.4879,-4.685,1.1896,-0.4458,0.3393
"201",1983,9,0.7607,0.8421,0.4251,1.3672,3.2784,2.9057
"202",1983,10,0.7433,-3.5507,-3.8336,2.6752,1.6521,3.6911
"203",1983,11,0.7199,2.2357,2.0489,1.1084,-0.2409,-1.7574
"204",1983,12,0.7039,-1.7503,-1.1725,1.3314,-1.5443,1.0862
"205",1984,1,0.8083,-2.1106,-0.9688,2.328,-3.7142,0.8412
"206",1984,2,0.7328,-4.6401,-1.7978,0.9164,-0.7799,0.691
"207",1984,3,0.728,0.6109,-0.184,0.7269,-0.6017,1.3117
"208",1984,4,0.813,-0.5592,-0.926,1.0354,2.1327,2.3962
"209",1984,5,0.7898,-6.0218,-0.4082,-1.4655,1.8025,1.8991
"210",1984,6,0.7534,1.5851,0.4929,-2.2535,1.8586,0.7168
"211",1984,7,0.8755,-2.9376,-2.2901,-1.2812,3.6501,3.0351
"212",1984,8,0.7963,10.4726,0.2333,-0.4724,0.9506,0.0303
"213",1984,9,0.8293,-0.7889,-0.6953,2.5778,0.2349,1.2388
"214",1984,10,0.9766,-0.984,-1.3706,-0.3578,2.6866,1.8068
"215",1984,11,0.7334,-1.8019,-1.0569,2.2392,0.8011,1.6722
"216",1984,12,0.6923,1.6733,-0.4099,-0.8247,2.5505,1.3251
"217",1985,1,0.6474,7.9244,3.4395,-3.4515,0.9728,-1.6141
"218",1985,2,0.6033,1.0863,0.7735,1.0906,1.5462,2.2266
"219",1985,3,0.616,-0.7907,-2.0449,3.3007,0.9211,2.0067
"220",1985,4,0.7565,-0.9751,-0.688,1.4025,0.1247,1.8031
"221",1985,5,0.6062,4.9713,-1.5727,-1.2263,3.2192,1.511
"222",1985,6,0.5546,1.1545,-0.5306,-0.1952,2.9012,1.6929
"223",1985,7,0.6196,-0.6447,2.3309,-0.8273,-1.8254,1.3245
"224",1985,8,0.5792,-1.0587,-0.1823,2.0991,0.4306,1.1911
"225",1985,9,0.6049,-4.5875,-1.8169,1.9838,1.2,1.7401
"226",1985,10,0.6021,3.842,-0.2065,0.262,2.1957,2.8545
"227",1985,11,0.6156,6.3072,-0.2586,-1.6424,1.8021,-0.9075
"228",1985,12,0.6139,3.6922,0.3142,-1.4693,1.7907,-0.9129
"229",1986,1,0.4865,0.4964,1.0622,-0.7089,1.7395,1.8057
"230",1986,2,0.5296,6.7204,-0.4444,-1.4614,2.2439,0.8796
"231",1986,3,0.5963,4.7922,0.6332,1.0696,2.0588,1.7284
"232",1986,4,0.5341,-1.3244,1.0631,-1.5629,0.6536,0.0689
"233",1986,5,0.4934,4.591,-1.1615,1.2742,3.4486,1.0156
"234",1986,6,0.5246,0.9,-0.2989,1.6352,5.297,0.9327
"235",1986,7,0.5011,-6.4711,-2.7338,1.3587,3.0072,2.8047
"236",1986,8,0.4614,6.1567,-4.3963,3.0888,-2.7171,1.6136
"237",1986,9,0.4783,-8.3804,0.5282,3.3936,-3.8269,-0.3289
"238",1986,10,0.4209,4.5094,-2.006,0.0726,0.9132,0.6079
"239",1986,11,0.3924,1.1169,-2.0096,0.3937,1.0802,3.7208
"240",1986,12,0.4767,-3.1155,0.8289,1.0972,1.867,1.62
"241",1987,1,0.4151,12.4345,-1.2075,-1.2057,0.9773,2.8945
"242",1987,2,0.4309,4.3609,3.36,-1.9813,2.1111,-1.0486
"243",1987,3,0.5012,1.8652,-0.7154,4.1787,-1.1975,1.3333
"244",1987,4,0.4285,-2.1286,-2.4642,0.2809,-1.4873,0.5919
"245",1987,5,0.376,0.1365,-1.2248,-0.089,-2.3887,-0.152
"246",1987,6,0.5031,3.8631,-1.5125,1.3796,1.4062,-0.2125
"247",1987,7,0.4058,4.019,-2.0695,0.0906,-1.774,-0.6777
"248",1987,8,0.4744,3.2402,-0.2032,-0.24,3.8224,2.4264
"249",1987,9,0.482,-2.5594,0.6282,1.8849,0.5862,1.8495
"250",1987,10,0.604,-23.1403,-7.3612,3.3037,0.571,2.5112
"251",1987,11,0.3366,-7.5639,3.2813,0.6495,-0.7044,0.8775
"252",1987,12,0.2988,6.7339,0.1934,-2.4618,3.8851,1.512
"253",1988,1,0.2762,4.2118,-0.7378,1.3266,-4.0738,-1.7589
"254",1988,2,0.4564,4.7131,3.5224,-0.5932,1.0481,-0.548
"255",1988,3,0.4402,-2.1,5.7105,1.6329,-2.1454,-2.0242
"256",1988,4,0.4577,0.6414,0.9133,2.1413,0.6524,0.9063
"257",1988,5,0.5051,-0.4603,-1.1736,0.4606,-0.1385,1.3565
"258",1988,6,0.4832,4.6627,2.8763,-3.0728,2.3096,1.8386
"259",1988,7,0.506,-1.2332,0.1952,1.1126,-1.183,0.09
"260",1988,8,0.5957,-3.3963,0.0699,1.6595,-2.1331,-0.4089
"261",1988,9,0.6145,3.1057,-1.4901,-0.3702,2.1637,0.8178
"262",1988,10,0.6074,1.1572,-2.7997,0.4982,0.1131,0.6627
"263",1988,11,0.5742,-2.2154,-1.9117,1.3915,-0.4641,0.3461
"264",1988,12,0.6306,1.4769,2.4781,0.4733,0.8732,0.4898
"265",1989,1,0.5766,6.0337,-2.2241,0.0239,-0.3618,1.5782
"266",1989,2,0.611,-2.2556,2.9549,1.586,-0.4831,-0.145
"267",1989,3,0.6213,1.5252,1.3223,1.296,-0.0879,0.7068
"268",1989,4,0.681,4.1394,-0.9292,-0.274,1.1675,-0.2083
"269",1989,5,0.8006,3.1332,0.0302,0.1261,1.31,0.3702
"270",1989,6,0.7147,-1.2013,-0.7235,1.5784,-0.1784,-0.9204
"271",1989,7,0.704,7.0091,-3.4714,-0.3429,4.9021,2.471
"272",1989,8,0.6684,1.5443,0.4844,-0.4271,1.6706,0.2146
"273",1989,9,0.6387,-0.7861,0.764,1.1867,1.6168,1.9062
"274",1989,10,0.682,-3.6105,-3.3425,1.2867,1.3911,2.3063
"275",1989,11,0.634,1.1474,-1.3368,1.6249,0.2317,-0.4967
"276",1989,12,0.5941,1.2354,-1.9386,1.579,1.0581,2.4312
"277",1990,1,0.5852,-7.5967,-1.2251,0.9053,0.0231,-0.2384
"278",1990,2,0.5818,0.9083,1.1806,-1.0975,-0.401,0.0992
"279",1990,3,0.638,1.776,1.2076,-0.3595,2.243,1.665
"280",1990,4,0.6829,-3.5115,-0.4589,-0.787,2.2141,0.5999
"281",1990,5,0.6404,8.253,-1.6575,-0.8183,3.7639,2.6215
"282",1990,6,0.5898,-1.0094,1.8543,0.2713,2.2175,-0.2309
"283",1990,7,0.6704,-1.6107,-2.4725,3.9945,2.5795,0.0509
"284",1990,8,0.6154,-9.8059,-4.5174,3.7185,-1.0206,1.2605
"285",1990,9,0.5984,-5.9827,-3.447,2.575,-0.4876,2.6992
"286",1990,10,0.6559,-1.9063,-5.0339,0.2264,2.102,3.0656
"287",1990,11,0.5651,6.0093,0.4131,-3.9682,1.5223,-0.829
"288",1990,12,0.5989,2.3524,1.2575,-1.942,3.9192,1.4869
"289",1991,1,0.4637,4.4441,3.3666,-3.9407,0.1517,1.5811
"290",1991,2,0.4767,7.108,3.621,0.1596,-1.2271,-0.681
"291",1991,3,0.4391,2.4532,3.9364,-0.9255,1.6607,0.0336
"292",1991,4,0.5335,-0.202,-0.7132,0.4803,1.3908,0.6355
"293",1991,5,0.4461,3.6272,-0.577,-1.9576,-0.6927,-1.0672
"294",1991,6,0.4171,-4.82,0.0759,0.6187,1.3632,0.474
"295",1991,7,0.484,4.1955,-0.5747,-0.614,3.1421,0.3736
"296",1991,8,0.461,2.2207,1.2362,0.0166,1.2334,-0.2208
"297",1991,9,0.4558,-1.5533,1.8296,-0.8092,-0.383,0.277
"298",1991,10,0.4246,1.3569,0.636,1.2809,0.1098,3.1848
"299",1991,11,0.3915,-4.119,-0.3546,0.3441,3.45,0.4427
"300",1991,12,0.3792,10.2986,-1.552,-2.0468,6.8643,-0.4819
"301",1992,1,0.3059,-0.4241,8.3338,1.5253,-3.9617,1.4792
"302",1992,2,0.2828,1.0526,1.3226,2.2887,0.8278,2.2066
"303",1992,3,0.3376,-2.7076,-1.2396,2.0219,1.0721,1.961
"304",1992,4,0.3303,1.0116,-6.9751,1.8166,-1.6567,1.9513
"305",1992,5,0.2758,0.3681,-0.3332,0.3615,-0.1166,-0.6787
"306",1992,6,0.3201,-2.2472,-2.5932,0.567,0.7956,0.8133
"307",1992,7,0.2892,3.7008,-0.7794,0.3704,2.6153,-0.0495
"308",1992,8,0.2605,-2.3425,-0.3192,-0.7675,1.4734,-0.9092
"309",1992,9,0.2573,0.9874,0.6636,-0.3957,2.3068,-0.8426
"310",1992,10,0.2286,0.87,1.5359,-0.3914,2.1402,0.5989
"311",1992,11,0.2346,3.7847,3.6534,-1.2252,0.9023,-0.2352
"312",1992,12,0.227,1.5498,2.7691,1.4433,1.8416,1.033
"313",1993,1,0.2335,1.0309,2.3154,2.9767,-1.4159,0.0751
"314",1993,2,0.2209,0.3193,-3.3516,3.6442,-1.4748,2.274
"315",1993,3,0.2538,2.2578,0.0049,0.9528,1.8004,0.4903
"316",1993,4,0.2372,-2.7772,-1.151,1.2198,-3.0085,2.0296
"317",1993,5,0.2168,2.7431,1.8254,-0.8001,-0.5424,-0.3906
"318",1993,6,0.2756,0.2684,1.5941,1.8326,2.9356,1.6362
"319",1993,7,0.2402,-0.3194,1.415,1.4857,-0.5377,0.7905
